resolved_url,pl_theta,rec_prob,brand_ko,split,pool_rank,top_pct
https://anua.kr/product/detail.html?product_no=252,3.487022809050154,0.03742219945530138,아누아,train,1,0.3389830508474576
https://physiogel.co.kr/product/detail.html?product_no=33&cate_no=28&display_group=1,3.4730835989816415,0.036904182318315666,피지오겔,train,2,0.6779661016949152
https://myrealbarrier.co.kr/product/detail.html?product_no=70,3.3621180647941284,0.033028121075613384,리얼베리어,train,3,1.0169491525423728
https://abib.com/product/아크네-폼-클렌저-어성초-폼/132/,3.329283913303551,0.03196128098270648,아비브,train,4,1.3559322033898304
https://neopharmshop.co.kr/product/아토팜-판테놀-크림-워시-300ml/2130/,3.2623903304526425,0.029893217585337577,아토팜,train,5,1.694915254237288
https://celimax.co.kr/product/%EC%8B%9C%EC%B9%B4-%EB%B0%94%ED%95%98-%EC%A7%80%EC%9A%B0%EA%B0%9C-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/26/category/48/display/1/,3.0987962553410595,0.025381931000522454,셀리맥스,train,6,2.0338983050847457
https://anua.kr/product/detail.html?product_no=254,3.0850929399511564,0.025036486666780704,아누아,train,7,2.3728813559322033
https://neopharmshop.co.kr/product/detail.html?product_no=2215&cate_no=43&display_group=1,2.912557844994155,0.021068923451217178,네오팜,train,8,2.711864406779661
https://benetus.imweb.me/cleanser/?idx=2,2.8774294085616297,0.020341653821978504,베네투스,train,9,3.050847457627119
https://physiogel.co.kr/product/detail.html?product_no=374&cate_no=28&display_group=1,2.8439072149907942,0.019671059655212913,피지오겔,train,10,3.389830508474576
https://onething.kr/product/%EC%96%B4%EC%84%B1%EC%B4%88-%EC%95%BD%EC%82%B0%EC%84%B1-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/233/category/1/display/7/?icid=MAIN.product_listmain_6,2.8030711055113042,0.01888395072092862,원씽,train,11,3.728813559322034
https://abib.com/product/딥-클린-폼-클렌저-수분초-히알루론-폼/306/,2.725726250585678,0.017478429806471987,아비브,train,12,4.067796610169491
https://myrealbarrier.co.kr/product/detail.html?product_no=71,2.6725902770714676,0.016573939707983425,리얼베리어,train,13,4.406779661016949
https://medipeel.co.kr/product/detail.html?product_no=2681&cate_no=499&display_group=1,2.5589190757522062,0.014793092714589737,메디필,train,14,4.745762711864407
https://pyunkangyul.com/product/%EC%A7%84%EC%A0%95-%EC%95%BD%EC%82%B0%EC%84%B1-%ED%8F%AC%EB%B0%8D-%ED%81%B4%EB%A0%8C%EC%A0%80-150ml/203/category/231/display/1/,2.553126933435468,0.014707656683963339,편강율,train,15,5.084745762711865
https://aromatica.co/product/detail.html?product_no=2212,2.5222513766204724,0.014260488402472186,아로마티카,test,16,5.423728813559322
https://medipeel.co.kr/product/detail.html?product_no=2687&cate_no=499&display_group=1,2.501569931536325,0.01396858974198176,메디필,train,17,5.762711864406779
https://neopharmshop.co.kr/product/detail.html?product_no=2144&cate_no=48&display_group=1,2.3866500394722423,0.012452125448240916,네오팜,train,18,6.101694915254238
https://m.maxclinic.com/product/detail.html?product_no=1548&cate_no=180&display_group=1,2.353241497442381,0.012042990447085981,맥스클리닉,train,19,6.440677966101695
