set_id,round,engine,model,input_sku1,input_sku2,input_sku3,Y2_top1_brand,Y2_top1_subtype,Y2_top1_price,Y1_top1_brand_mentioned,Y1_top1_price_mentioned,rank2_brand,rank2_subtype,rank2_price,Y1_top2_brand_mentioned,Y1_top2_price_mentioned,rank3_brand,rank3_subtype,rank3_price,Y1_top3_brand_mentioned,Y1_top3_price_mentioned,Y3_numeric_count,Y3_numeric_density,Y4_safety_kw,Y4_skin_type_kw,Y4_total,response_chars,cost_usd,response_excerpt
main_02398,round1,openai,gpt-5.4-mini,에뛰드,테라비코스,스킨바리스타,에뛰드,foam,12000,N,N,스킨바리스타,foam,23000.0,N,N,테라비코스,gel,14000.0,N,N,1,0.35,8,2,10,284,0.001171,"1. 제품 1 - 센텔라·시카·판테놀이 들어간 폼 타입이라 민감성 피부 진정과 세정력의 균형이 좋아 보이고, 가격도 1만 원대로 가장 가성비가 좋습니다.  
2. 제품 3 - 500ml 대용량에 2만 원대 초반이라 가성비가 매우 뛰어나고 평점도 높지만, 성분 정보가 단순해 민감·당김 케어 측면은 제품 1보다 덜 확실합니다.  
3. 제품 2 - AHA가 있어 각질·모공에는 도움이 될 수 있지만, 환경 자극에 약하고 클렌징 후 당김을 싫어하는 페르소나에는 자극 가능성이 상대적으로 있어 우선순위가 낮습니다."
main_00154,round1,openai,gpt-5.4-mini,메디큐브,비플레인,은율,비플레인,foam,10500,N,N,은율,foam,12800.0,N,N,메디큐브,foam,17500.0,N,N,1,0.41,10,4,14,246,0.001076,"1. 2 - 세라마이드·시카·히알루론산 조합이라 민감성 피부의 당김/자극 완화에 가장 유리하고, 여드름성·모공 케어까지 맞아 페르소나에 가장 잘 맞아요.
2. 3 - 판테놀로 진정감은 기대할 수 있고 500ml 대용량이라 가성비가 매우 좋지만, 핵심 보습/장벽 성분 구성이 제품 2보다 단순해요.
3. 1 - 평점과 리뷰 수는 좋지만 AHA가 들어 있어 민감성·환경 자극에 약한 피부엔 세안 후 자극이나 당김 가능성이 상대적으로 더 있어요."
main_00154,round1,anthropic,claude-haiku-4-5-20251001,메디큐브,비플레인,은율,메디큐브,foam,17500,N,N,비플레인,foam,10500.0,N,Y,은율,foam,12800.0,N,N,1,0.35,3,1,4,283,0.001614,"# 클렌징 제품 추천 순위

1. **제품 1** - 민감성 피부에 필수인 시카와 당김 완화에 도움되는 콜라겐이 함유되어 있으면서도 4,891건의 높은 신뢰도 평점(4.8)으로 검증된 제품입니다.

2. **제품 2** - 세라마이드와 히알루론산으로 클렌징 후 건조함을 최소화할 수 있고, 10,500원의 가장 합리적인 가격대로 매일 사용하기에 부담이 없습니다.

3. **제품 3** - 판테놀 단일 성분으로 자극 최소화는 가능하지만, 리뷰 수(5건)가 극히 적어 제품의 신뢰성과 효과 검증이 부족합니다."
main_02398,round1,anthropic,claude-haiku-4-5-20251001,에뛰드,테라비코스,스킨바리스타,테라비코스,gel,14000,N,N,에뛰드,foam,12000.0,N,Y,스킨바리스타,foam,23000.0,N,N,3,1.12,9,3,12,268,0.001538,"# 페르소나 맞춤형 추천

1. **제품 2** - 민감성 피부 진정(시카, 히알루론산)과 트러블 개선을 동시에 하며 4.8점 높은 평점으로 신뢰도가 높고 가성비도 우수함.

2. **제품 1** - 센텔라·시카·판테놀로 자극받은 피부 회복에 최적화되었고 12,000원의 저가로 민감성 피부 케어를 경제적으로 시작하기 좋음.

3. **제품 3** - 가장 높은 평점(5.0)과 대용량(500ml)으로 장기 사용 시 가성비가 좋지만 유효성분이 단순하고 민감성 진정 성분이 부족함."
main_00159,round1,openai,gpt-5.4-mini,스킨푸드,은율,와더스킨,스킨푸드,foam,16000,N,N,와더스킨,foam,22000.0,N,N,은율,foam,11000.0,N,N,0,0.0,7,3,10,210,0.000976,"1. 1 - 녹차·판테놀 계열로 비교적 자극이 덜할 가능성이 있고, 모공·각질 케어까지 노려볼 수 있어 민감한 복합성 피부에 가장 무난합니다.
2. 3 - 판테놀이 있어 2번보다 당김/자극 완화 기대가 있지만 AHA가 들어가 민감성 피부엔 다소 부담될 수 있습니다.
3. 2 - BHA 단일 각질 케어형이라 가성비는 좋지만, 민감·건조 경향에선 자극과 당김이 가장 걱정됩니다."
main_00159,round1,anthropic,claude-haiku-4-5-20251001,스킨푸드,은율,와더스킨,스킨푸드,foam,16000,N,N,와더스킨,foam,22000.0,N,N,은율,foam,11000.0,N,N,0,0.0,13,5,18,265,0.001567,"1. 제품 1 - 녹차·펩타이드·프로폴리스 등 진정·보습 성분으로 민감성 피부에 자극 최소화하면서 모공·각질 개선 가능하고 가성비도 우수합니다.

2. 제품 3 - AHA로 효과적인 각질 제거와 판테놀의 보습력으로 클렌징 후 당김을 완화할 수 있으나, 활성 성분이 강한 편이라 민감성 피부라면 신중한 사용이 필요합니다.

3. 제품 2 - BHA 단일 성분으로 각질 제거 효과는 있지만 보습·진정 성분 부재로 민감성·복합성 피부에서 자극감과 당김이 발생할 가능성이 높습니다."
main_00160,round1,openai,gpt-5.4-mini,파파레서피,스킨푸드,일리윤,일리윤,foam,17600,N,N,파파레서피,powder,18000.0,N,N,스킨푸드,foam,13000.0,N,N,0,0.0,7,3,10,269,0.001154,"1. **3번** - 세라마이드·프로바이오틱스 성분의 폼 타입이라 민감성/복합성 피부에 비교적 순하고, 클렌징 후 당김을 줄이기 좋아 페르소나에 가장 잘 맞습니다.  
2. **1번** - 센텔라·쌀 성분으로 진정감은 좋고 가성비도 괜찮지만, AHA와 티트리 성분이 있어 민감한 피부엔 자극 가능성이 있어 2순위입니다.  
3. **2번** - 프로폴리스·티트리 기반의 폼 클렌저로 무난하지만, 민감성 피부에 대한 배려 성분이나 보습/장벽 케어 측면이 3개 중 가장 약해 보입니다."
main_00160,round1,anthropic,claude-haiku-4-5-20251001,파파레서피,스킨푸드,일리윤,일리윤,foam,17600,N,N,스킨푸드,foam,13000.0,N,Y,파파레서피,powder,18000.0,N,N,1,0.4,5,3,8,249,0.001478,"# 페르소나에게 맞는 클렌징 제품 순위

1. **제품 3** - 세라마이드와 프로바이오틱 성분이 민감성·복합성 피부의 자극을 최소화하고 클렌징 후 당김을 덜어주기에 최적입니다.

2. **제품 2** - 13,000원의 합리적 가격대에 쌀·티트리 성분으로 각질 제거가 가능하며, 폼 타입이 순하게 작용합니다.

3. **제품 1** - AHA 등 활성 성분이 풍부하지만 민감성 피부에는 자극이 될 수 있어 좋은 성능에도 불구하고 세 번째입니다."
main_01666,round1,openai,gpt-5.4-mini,비플레인,파파레서피,메디큐브,비플레인,foam,37800,N,N,메디큐브,foam,17500.0,N,N,파파레서피,foam,12000.0,N,N,0,0.0,8,3,11,227,0.001045,"1. 1 - 민감성·복합성 피부에 맞는 세라마이드·시카·판테놀·히알루론산 조합으로 자극 완화와 세안 후 당김 최소화에 가장 유리합니다.
2. 3 - 리뷰 수와 평점이 매우 좋아 기본 성능 신뢰도는 높지만, AHA가 있어 민감한 피부에는 1번보다 자극 가능성이 있습니다.
3. 2 - 가성비와 트러블/여드름 타겟은 좋지만 AHA·티트리 성분이 있어 환경 자극에 약하고 당김을 싫어하는 피부에는 덜 적합합니다."
main_01666,round1,anthropic,claude-haiku-4-5-20251001,비플레인,파파레서피,메디큐브,파파레서피,foam,12000,N,Y,메디큐브,foam,17500.0,N,Y,비플레인,foam,37800.0,N,Y,3,1.35,3,1,4,223,0.001366,"1. **제품 2** - 12,000원의 합리적 가격에 5.0 평점으로 검증된 성능, 센텔라와 티트리로 민감한 피부 진정에 최적화.

2. **제품 3** - 17,500원대 가성비에 4,891개 리뷰로 신뢰도 높고, AHA+시카로 당김 없이 모공 정리가 가능.

3. **제품 1** - 37,800원 고가이면서 평점·리뷰 정보 부족으로 검증이 안 되어, 세라마이드 풍부한 성분에도 우선순위 낮음."
